Enersight Well name,Pad,Fault Block,Prod_name,,,,,
Well b-43-A GT,Gething,Gething,,,,,,
Well d-55-A GT,Gething,Gething,b-17-I/94-B-1 - T3 - PnP - N,,,,,
Well d-B53-A GT,Gething,Gething,c-18-I/94-B-1 - C3 - PnP - N,,,,,
Well d-64-A GT,Gething,Gething,c-A48-I/94-B-1 - M - PnP - N,,,,,
Well b-74-A GT,Gething,Gething,c-45-I/94-B-1 - C4 - PnP - N,,,,,
Well d-88-A GT,Gething,Gething,c-B18-I/94-B-1 - C3 - PnP - N,,,,,
Well c-A15-I,Suncor,Suncor,,,,,,
Well b-62-I SC,Suncor,Suncor,d-55-A/94-B-8 - Gt - PnP - V,,,,,
Well a-83-I SC,Suncor,Suncor,,,,,,
Well c-57-I,Suncor,Suncor,d-64-A/94-B-8 - Gt - PnP - V,,,,,
Well a-94-I SC,Suncor,Suncor,b-74-A/94-B-8 - Gt - PnP - V,,,,,
Well c-29-I SC,Suncor,Suncor,d-88-A/94-B-8 - Gt - PnP - V,,,,,
Well d-15-A SC,Suncor,Suncor,,,,,,
Well b-24-A SC,Suncor,Suncor,,,,,,
Well b-35-A SC,Suncor,Suncor,,,,,,
Well c-A56-A SC,Suncor,Suncor,,,,,,
Well d-A68-A SC,Suncor,Suncor,,,,,,
Well d-79-A SC,Suncor,Suncor,,,,,,
Well d-90-A SC,Suncor,Suncor,,,,,,
Well b-98-A SC,Suncor,Suncor,,,,,,
Well a-99-A SC,Suncor,Suncor,,,,,,
Well c-63-B SC,Suncor,Suncor,,,,,,
Well c-B29-G SC,Suncor,Suncor,,,,,,
Well c-A29-G SC,Suncor,Suncor,,,,,,
Well d-13-G SC,Suncor,Suncor,,,,,,
Well d-21-G SC,Suncor,Suncor,,,,,,
Well d-A2-G SC,Suncor,Suncor,,,,,,
Well c-74-G,Suncor,Suncor,,,,,,
Well c-96-G SC,Suncor,Suncor,,,,,,
Well b-10-H SC,Suncor,Suncor,,,,,,
Well b-19-H SC,Suncor,Suncor,,,,,,
Well c-20-H SC,Suncor,Suncor,,,,,,
