H HEADER INFORMATION -------------------------------------------,,,,,,,,,,,,,
H DIRECTIONAL COMPANY:,PACESETTER DIRECTIONAL DRILLING LTD.,,,,,,,,,,,,
H COMPANY :,Pacific Canbriam Energy Limited,,,,,,,,,,,,
H FIELD   :,Altares (NAD 27),,,,,,,,,,,,
H SITE    :,Padsite: 15-12-84-26 W6M,,,,,,,,,,,,
H WELL    :,Pacific Canbriam HZ Altares A15-12-084-26,,,,,,,,,,,,
H WELLPATH:,Job# 24-D1181 - Leg 2,,,,,,,,,,,,
H DEPTHUNT:,m,,,,,,,,,,,,
H---------------------------------------------------------------- ,,,,,,,,,,,,,
H WELL INFORMATION,,,,,,,,,,,,,
H WELL EW MAP :,564387.02,,,,,,,,,,,,
H WELL NS MAP :,6236771.3,,,,,,,,,,,,
H KB ELEVN :,776.65,,,,,,,,,,,,
H GRD LVL :,770.4,,,,,,,,,,,,
H NORTH REF :,TRUE,,,,,,,,,,,,
H VSECT ANGLE :,104.6,,,,,,,,,,,,
H VSECT NORTH :,0,,,,,,,,,,,,
H VSECT EAST  :,0,,,,,,,,,,,,
H Grid Convergence at Surface is 0.865°.,,,,,,,,,,,,,
H TEXT FILE EXPORT DATE :,27-Oct-24,,,,,,,,,,,,
H---------------------------------------------------------------- ,,,,,,,,,,,,,
H SURVEY TYPE INFORMATION,,,,,,,,,,,,,
H  6.25 - 1084.26 FINAL SURVEYS : MWD+IFR1+MS-ROUNDLAB,,,,,,,,,,,,,
H  1100.68 - 4368.00 SURVEYS : MWD+IFR1+MS-ROUNDLAB,,,,,,,,,,,,,
H---------------------------------------------------------------- ,,,,,,,,,,,,,
H Survey List,,,,,,,,,,,,,
MD,Incl.,Azim.,TVD,Sub-Sea,NS,EW,VSEC,Dogleg,UTM(X),UTM(Y),Latitude,Longitude,Comment
1764.06,79.45,133.46,1616.11,-839.46,-212.79,172.29,220.38,5.8398,564562.45,6236561.21,56.271399,-121.95751, 
1773.61,81.01,133.35,1617.73,-841.08,-219.26,179.13,228.63,4.9123,564569.38,6236554.85,56.271341,-121.9574, 
1783.2,82.75,132.78,1619.09,-842.44,-225.74,186.07,236.97,5.7222,564576.41,6236548.47,56.271283,-121.957288, 
1792,84.51,132.69,1620.06,-843.41,-231.68,192.49,244.68,6.0077,564582.92,6236542.64,56.27123,-121.957184, 
1794.48,85,132.51,1620.29,-843.64,-233.35,194.31,246.86,6.3218,564584.76,6236541,56.271215,-121.957155,Interp 85deg Inc Pt
1800.9,86.27,132.04,1620.78,-844.13,-237.65,199.05,252.53,6.3218,564589.56,6236536.76,56.271176,-121.957078, 
1810.65,88.04,131.33,1621.26,-844.61,-244.13,206.32,261.2,5.8669,564596.93,6236530.4,56.271118,-121.956961,Heel
1820.15,88.94,129.57,1621.51,-844.86,-250.29,213.54,269.75,6.2406,564604.24,6236524.35,56.271062,-121.956844, 
1839.44,90.51,127.67,1621.61,-844.96,-262.33,228.61,287.37,3.8331,564619.49,6236512.54,56.270954,-121.956601, 
1858.46,90.77,125.28,1621.39,-844.74,-273.64,243.91,305.02,3.7917,564634.94,6236501.48,56.270853,-121.956354, 
1877.62,89.93,121.94,1621.28,-844.63,-284.24,259.86,323.13,5.3924,564651.05,6236491.12,56.270758,-121.956097, 
1896.94,91.8,118.95,1620.98,-844.33,-294.03,276.51,341.71,5.4755,564667.84,6236481.59,56.27067,-121.955828, 
1916.25,91,115.64,1620.51,-843.86,-302.88,293.66,360.54,5.2889,564685.12,6236473,56.27059,-121.955551, 
1935.43,90.37,111.53,1620.28,-843.63,-310.55,311.24,379.48,6.5032,564702.8,6236465.59,56.270521,-121.955268, 
1954.93,90.38,107.52,1620.16,-843.51,-317.06,329.61,398.9,6.1691,564721.26,6236459.36,56.270463,-121.954971, 
1974.21,89.08,103.49,1620.25,-843.6,-322.22,348.19,418.18,6.5887,564739.91,6236454.49,56.270416,-121.954671, 
1993.53,89.11,99.12,1620.55,-843.9,-326,367.12,437.46,6.785,564758.89,6236450.99,56.270382,-121.954366, 
2012.95,89.94,98.06,1620.71,-844.06,-328.9,386.32,456.77,2.0797,564778.13,6236448.38,56.270356,-121.954056, 
2032.27,90.14,97.28,1620.7,-844.05,-331.48,405.47,475.95,1.2504,564797.31,6236446.09,56.270333,-121.953747, 
2051.77,90.5,96.58,1620.59,-843.94,-333.84,424.83,495.27,1.211,564816.69,6236444.03,56.270312,-121.953434, 
2071.28,90.83,97.63,1620.36,-843.71,-336.25,444.19,514.61,1.6923,564836.08,6236441.91,56.27029,-121.953122, 
2090.6,88.75,98.08,1620.43,-843.78,-338.89,463.32,533.8,3.3045,564855.24,6236439.56,56.270267,-121.952813, 
2109.72,89.36,98.49,1620.75,-844.1,-341.64,482.24,552.8,1.1532,564874.19,6236437.09,56.270242,-121.952508, 
2128.82,88.41,98.82,1621.12,-844.47,-344.52,501.12,571.79,1.5796,564893.11,6236434.51,56.270216,-121.952203, 
2147.93,88.22,98.87,1621.68,-845.03,-347.45,520,590.8,0.3084,564912.02,6236431.86,56.27019,-121.951898, 
2167.23,88.24,98.35,1622.28,-845.63,-350.34,539.07,609.98,0.8085,564931.13,6236429.26,56.270164,-121.951591, 
2186.52,88.45,97.84,1622.84,-846.19,-353.06,558.16,629.14,0.8575,564950.25,6236426.83,56.270139,-121.951283, 
2205.54,89.38,97.1,1623.2,-846.55,-355.53,577.01,648.01,1.8744,564969.13,6236424.64,56.270117,-121.950978, 
2224.79,89.89,96.57,1623.32,-846.67,-357.82,596.13,667.08,1.1463,564988.27,6236422.64,56.270096,-121.95067, 
2243.8,90.22,97.79,1623.3,-846.65,-360.2,614.99,685.93,1.9945,565007.16,6236420.55,56.270075,-121.950365, 
2263.11,90.5,97.48,1623.18,-846.53,-362.76,634.13,705.1,0.649,565026.33,6236418.28,56.270052,-121.950057, 
